artista,genero_musical,tipo,nombre,año_lanzamiento,id,popularidad
Leæther Strip,metal,cancion,It's Not Real,2010,2peOCKrE9TQiprnuei9p3D,0
L.O.S.T.,metal,cancion,Away,2010,6KaW5LKM9i4t3CWV3ZLmkA,0
CALIBER 666,metal,cancion,The Worthless - Demo Version,2010,10ysKqMWeqabT5GPtXOF3G,0
Astral,metal,cancion,Cerna ruze,2010,3XAqJnlR4smYGrWBCSWXcx,0
Gianluca Ferro,metal,cancion,Black Lydian,2010,36F5fMtpvDqs33wcnPIMON,0
Beyond Terror Beyond Grace,metal,cancion,Husk,2010,2zdS01N1AFymUdW9TbCNFb,0
Touch of Eternity,metal,cancion,Eternal Sleep,2010,3XudbKiXugOXq3NgbiyZFc,0
Exquisite Pus,metal,cancion,Dead (Forgotten),2010,7H8yQ8e4oHgcvwDHltlKzz,0
Battlemaster,metal,cancion,Ceremonial Dragon Mutilation,2010,7k6T6e4f21uRf2rIT2YECO,0
The Seventh Gate,metal,cancion,The Mary Shelley Song,2010,3yoRiwAlHRMwZHjnVuIA6g,0
Phlegethon,metal,cancion,In Harmony With Penance,2010,01FIuih5IlbX0V7YjOTP0Z,0
Wormfood,metal,cancion,Beneath the Sea,2010,1Smm7TXp2YfzDRiq5R2zdq,0
Arfsynd,metal,cancion,Flagellanternas Procession,2010,5YlRkJVQHd280rffgMqdWy,0
Dead Conspiracy,metal,cancion,Cessations-1,2010,3aZDZqytOh5VcgSGQCsGbe,0
Cyphosis,metal,cancion,Passage of Evil,2010,6ITA6mRZWo5fCuBzSfIIGD,0
Nevergreen,metal,cancion,Hozza el az éj,2010,2JCuKdfFXdrlJzXxmJuyHk,0
Left Brain,metal,cancion,Empire of Oblivion,2010,4lQOSvvyUblIkfs7tihJYv,0
Pastor Brad,metal,cancion,I Wanna Be,2010,6LnLx0YdQYJ9ZdjLUcnySb,0
Misanthropian,metal,cancion,Pure Self,2010,6Qu5G8FiKFGNkldpLGqlGX,0
Sweet Crystal,metal,cancion,Warriors,2010,6Bn1yqo50WtyI2dbYjGCYB,0
Damnation Defaced,metal,cancion,Dream Shifter,2010,6sHQ5KYsIUGSjO3IE82Vmk,0
Echoes of Devastation,metal,cancion,Forgive Her,2010,0vjKx8MAwIp6IxqMpzJliJ,0
Phelan,metal,cancion,The Domain Laws,2010,6RSdD5nX8T4fndK8Sh5TsJ,0
Dead Conspiracy,metal,cancion,Conspiracy of Silence,2010,3VhBHkDFanUeUi63hXzQSR,0
Warlord U.K.,metal,cancion,Suffer In Silence,2010,0DkKG6MpofLB7GRi8CGY1V,0
Winter Rose,metal,cancion,Life of Mine,2010,4sffq746tAQXKefv3di09O,0
Animus,metal,cancion,Untitled-2,2010,5nYlkL9l5r5dEuvnwZk2d7,0
Apophis,metal,cancion,Y 20 36,2010,27ZyTimRdkkQMeIQe6PSpT,0
Nembience,metal,cancion,The Worst is Yet to Come,2010,6iR2jqmvX0eH5UOFtXVO7X,0
The Black,metal,cancion,Peccatis Nostris: Superbia,2010,1V4BsAfyJ2I33Q2Ygx0TxY,0
Secrets Of The Moon,metal,cancion,This Inner Soil,2010,4hI0UIOZ1kmDyx42RTRyKr,0
Auvernia,metal,cancion,Anguish,2010,2Vvoa0xVcMzVYn2RgXMN6O,0
Manic Movement,metal,cancion,Waltz Of Spirits,2010,3HYMjdjNLMyG4rvHk8KHdv,0
Pedro Andrea,metal,cancion,Shuffle Rag,2010,1N8iK7JPmA8NvkFW6z1yFR,0
Exquisite Pus,metal,cancion,Waiting Room,2010,0hyqXKhJMH9mwMuvq2sFve,0
Led to the Grave,metal,cancion,American Marquis De Sade,2010,3HZbxGjiavO4bUx0ioEnBi,0
Yuvigi,metal,cancion,Пробуждане,2010,75VGzq7FSNPeSGy4BhdIKj,0
Lugburz,metal,cancion,Towards the Fields of Pelennor,2010,34Smm89D0N1PgQABbhCSux,0
Plague Angel,metal,cancion,Stagnation of Christ,2010,4Q3YUdDhycLBXpXYXQTzMR,0
Bernatchez,metal,cancion,Rêve Chimérique (Acte 8),2010,3f2ahjzhEpZMj0MjWw0a1l,0
Markojuhani Rautavaara,metal,cancion,Jos,2010,1GrW962Dsxgp2Rb3DXMEsF,0
Hukkunud Hinged,metal,cancion,Tulesorg,2010,16zg3QMt1E9IJ6LvmmGli6,0
Liaison,metal,cancion,It's Not Worth It,2010,42b1vOi5VLvsdildyCilnF,1
Hephystus,metal,cancion,Legacy Pt I,2010,0mgYqpDXzJOuTAwDyPKZK9,0
My Shameful,metal,cancion,Blamed,2010,4OrLGtytdB7lODE89x4XVV,0
Kurnalcool,metal,cancion,Tetedeturpi,2010,5MgKG3h6yMZ8ZGhMgfMigx,0
Jarboe,metal,cancion,Racing to Our Death Dance,2010,1D1LZ1IiuVTrjBgloSIptb,0
Oblidian,metal,cancion,Red 360,2010,6J5ynTIQxZyy8AJARcPhak,0
明太Rocker×あちこあこ,metal,cancion,Masquerade,2010,666889YliTmytU63P2FDsl,0
Rosae Crucis,metal,cancion,Crom,2010,4mxpT2wA2daHLF0LrVXB0r,0
Maelstrom,metal,cancion,At Dawn They Die,2010,6Ncm3eIzexByKgfg32yyh0,0
Rektal Tuşe,metal,cancion,Gayet Ciddiyiz!,2010,32tumxKSQXq5Mtf03H04o2,1
Section A,metal,cancion,Danger,2010,2ALHa18a1hO2BP1jbCW5xr,0
Baboon Rising,metal,cancion,Witnessing Monetary Infliction,2010,3wvZDTlzxNCLUVJQHly4Y1,0
Vortech,metal,cancion,Transcendence,2010,7IqNi0DCyCuKhXYZYnTfTV,0
Bachus,metal,cancion,Celerius,2010,0ZS2XeeXv2dhc9Ndil3j48,0
Killface,metal,cancion,Miserable,2010,0CQwNZp8NR09V7ZMVvKsMj,0
Great Master,metal,cancion,Millenium,2010,0XftOxjuTJFUfalrcZIW6Q,0
My Own Grave,metal,cancion,Sheltered By Inferno (PTD Demo 2004),2010,0q2MuZkwJiSXA59uVLP2dE,0
Dirt Communion,metal,cancion,Bombed / Last Call,2010,2O204KpwtbEolTHPmmHrDg,0
Arcanum Sanctum,metal,cancion,Moment of Death,2010,3USwcPa09sTQAXWpsL6sf9,0
Lost Forever,metal,cancion,Brewing My Hate,2010,2ryaDhIytLfo1v1Gc0nZ0k,0
窒息樂隊,metal,cancion,悲愴中前行,2010,1IBj82bMnPt4AGN4rSogS3,0
Offal,metal,cancion,When Hunger Brings Death,2010,3tQeRTDYKaZCfa8Rc5h2pn,0
Bloodwritten,metal,cancion,Watch the World Burn...,2010,1yU5YPUbx55mClQiaz6ZXc,0
Cobra,metal,cancion,"The Ugly, the Very Ugly and the Ugliest",2011,3frLpZ5OS814Zn1l8wdB4l,0
Después De Todo,metal,cancion,El Camino de los Olvidados,2011,6Wawxizyn4F333Xx2sB8Kl,2
Split Heaven,metal,cancion,Forged By Steel (Intro),2011,0KEdWi0rHOvoPfMbEvb37R,1
Iron Butterfly,metal,cancion,Are You Happy - Live at Fillmore East 4/27/68; 1st Show,2011,3Aw0oIVv1v2Obs1yIXiPiG,1
Cartel da Cevada,metal,cancion,Nigga Bigga Jairo,2011,1ysxHTtVpoehAR7ZCJjjUW,2
Zenobia,metal,cancion,La Hora Esperada - En Concierto,2011,0ZofKRB2EJODMs0Pe9TpOh,1
Frequency,metal,cancion,Inner Masquerade,2011,5egRYPw0mn5Y1Ds73J0yJ2,0
Split Heaven,metal,cancion,My Soul Burns Forever,2011,5QlBYgb2InmwaSQ8SwWTZM,2
Ramming Speed,metal,cancion,Perdition,2011,5nLbQk7eqV9tQDXikLB3pB,0
Fuck The Facts,metal,cancion,Cold Hearted,2011,4PEkFD0A6Y79N80LBBYhnr,1
Ñu,metal,cancion,El Flautista De Hamelin - En Directo,2011,5EzWArVehVps0IHUgcqmE2,0
Frozen Dawn,metal,cancion,Black Spells,2011,3DkYGXLC1Pq0bTlp3q2EVo,1
Split Heaven,metal,cancion,White Death,2011,29FLHdOITY00tOhoMjHUXi,2
Cartel da Cevada,metal,cancion,Chokin' (With a Beef),2011,05sAHSak3KnhvJ2FxbDjuI,2
Forgotten,metal,cancion,Resital Apokalip,2011,2lVSlO3yUs98Cnns78U8rN,6
Syn Ze Sase Tri,metal,cancion,Ruga,2011,216lKWcvbeUbiSf0GQUUck,0
Boargazm,metal,cancion,Onslaught,2011,0R5vXMEchK2LH9QXk384Td,0
Koltdown,metal,cancion,Lost Between,2011,7mXqtgiVZy5AZDIPHUwAT4,2
Lugubre,metal,cancion,Chaoskult,2011,1VxYxVF5ZlTTroJL3qvsbS,0
Etanisis,metal,cancion,Ocelotl (Guerrero Jaguar),2011,7kCOxMyc4xuL7N12uN7oAc,0
Scarlet Red,metal,cancion,What Doesn'T Kill You (Stronger) (Smithee Extended),2011,6twI6MdmFm3uTI95X2L8Y5,0
Braindeadz,metal,cancion,Murdered by Insanity,2011,57k3PcP9vyrLjaDmDIUitO,0
El Reloj,metal,cancion,Mercado De Almas,2011,3YG9kUJajTXFV01BY38go1,0
Khariot,metal,cancion,Spectral Monarchy,2011,3aX548DrB8qQByf5PkQ6Ez,0
Avarin,metal,cancion,The Unwilling,2011,3lGB5ZYDnyZk2L3IQCl0Eu,0
Blowtorch Sodomy,metal,cancion,Shitting in the Genepool,2011,5DFjRsgu6VyEruEFnAuzpC,0
John Wayne,metal,cancion,Talvez o Amanhã,2011,1wcqOn1YjsUJGObWDizdEo,3
Solstice Coil,metal,cancion,Moral Oxidation,2011,66rXzGIbsXfSF9zB1OWylY,0
Frozen Ocean,metal,cancion,Bee Horse,2011,2MhXL9rHtyp3CcXjvcY65D,0
Laconist,metal,cancion,Frustration from Above,2011,2CPPg6ZtHNNvdxrAWTPpXz,0
Hrizg,metal,cancion,The Infernal Scripture,2011,4J78sr4SiBt8gWtVp0PBeu,0
Balance Interruption,metal,cancion,Taste of Enemy's Blood,2011,2r1aBpL3U7q5EStBovKlES,0
ADX,metal,cancion,Le carnaval des lâches,2011,6He7S1SazQNQBXezyJpssS,0
Amongst Carrion,metal,cancion,Painted Red,2011,21X8lh1cWMaiV4tcEVzBsi,0
Atropos,metal,cancion,Blessed (Verses),2011,6s9EshjpmP0PiUJjO1SVah,0
Adrenal,metal,cancion,Cydonian Lander,2011,6sAOHxUIH8Vnd0HCpAywXJ,0
My Sweet Torment,metal,cancion,Seven,2011,3NaLpqKD02qeqbDYig8DDf,0
Execration,metal,cancion,Grains,2011,1MNEugvvsiawW3IIsh3C3r,0
Metal Styx,metal,cancion,Formula 1,2011,06lqwfmZ3EZ0rq1LJe1KD5,0
Vargton Projekt,metal,cancion,Lvorna,2011,0vYYYU2K3x0zCw9ev5emEL,0
Corpset,metal,cancion,V.P.O.,2011,7cGNIBSz4q4AyLqaIyHFck,0
Quicksilver Messenger Service,metal,cancion,Codeine,2011,6drsDcXNXIllB2CB76uLuv,0
Straight Line Stitch,metal,cancion,No Tomorrow,2011,4WpovaSDPtCUJIEmrBL9bC,0
War Engine,metal,cancion,Chemical Warfare,2011,62s8C8x3bdgjqMdthHhhA4,0
Черный Кузнец,metal,cancion,В одном королевстве…,2011,34UVO5G7uaKQamDqkUqUZr,0
Mega Beardo,metal,cancion,Creatures of the Bloodline,2011,3jjJr1n1Ljf1xrweiJ9noV,0
Herem,metal,cancion,Promise,2011,4vZSOsi63GkL7vchqsOqDt,0
Pretty Boy Floyd,metal,cancion,Father Christmas,2011,1bDn4xRpP9ZxffduHWkVWd,0
Fozzy,metal,cancion,Ignition,2011,4bpbjv2DrYtCtsniYt1KI1,0
Sonic Prophecy,metal,cancion,A Divine Act of War,2011,7q1Pmxd8Fny6l0slqHupcn,0
Dobytci Mor,metal,cancion,Hell Disease,2011,5Effq0bsCOvNkc7sRq8xxn,0
Submerged,metal,cancion,Dead - The Project_Pale Remix,2011,50cSqR5swS13JuyJQRK2IF,0
Andraste,metal,cancion,The Enchantress,2011,0xu53gngNT3S7K6GT5XuIy,0
The Canyon Observer,metal,cancion,"Our Universe, Written in Blood",2011,0UgrYbXoUo8RVFiuJ7U5AO,0
Herem,metal,cancion,Promise,2011,4vZSOsi63GkL7vchqsOqDt,0
Pretty Boy Floyd,metal,cancion,Father Christmas,2011,1bDn4xRpP9ZxffduHWkVWd,0
Requiem Laus,metal,cancion,Blood Lines,2011,1k4eoh443os2FIKZY3ZkhO,0
Baixo Calão,metal,cancion,Edadinamuh,2011,3tOTOMooEFsYze7iT5Ae7D,1
Carniza,metal,cancion,Dura y Pronta,2011,29fNkMXy758VhNgQpvs6ZD,0
Infernal Kingdom,metal,cancion,Satan's Cult,2011,3EoQbygKxO5HqH1oqKfuLR,0
Stone Axe,metal,cancion,Taking Me Home (live bonus),2011,66PWUPqilys2zrDICZSAFG,0
SUPERBEAST,metal,cancion,Rebellion,2011,2m6matnTWpsd7tUT1cx8FJ,0
Три Пули,metal,cancion,Неземной разум,2011,6Ln2VYq1xzJZv6IezLoloT,0
Torture Garden,metal,cancion,S.O.S.,2011,6F7WK4S8qclYP6yTbYJ6hc,0
Blood and Thunder,metal,cancion,Children of the Sand,2011,7dhaLhMUo19ohuHW0SDf6u,0
Wulfshon,metal,cancion,Natura Obscura,2011,5jz5Vp4jaihjaYAoruChiU,0
Dead Shape Figure,metal,cancion,Dead Again,2011,5puUTjkCppBLg3F7RrxBUV,0
Atropos,metal,cancion,Hypnos,2011,3TAilRSIvGkSgn1u3s6rYa,0
Izund,metal,cancion,Playground of Torment,2011,18hvgVy6IqbLeKTvtXKrqH,0
Ipsissimus,metal,cancion,The Third Secret of Fatima,2011,4OID5bPA3x2ChNk3N0qBkN,0
Стас Барецкий,metal,cancion,"Та, которую проебали",2011,1OCZz9dyGx2a46DasPMjFT,0
Solstice Coil,metal,cancion,Moral Oxidation,2011,66rXzGIbsXfSF9zB1OWylY,0
Agony Voices,metal,cancion,Forest of Tears,2011,7kbbCMJr8lJrrQ6wxapBYy,0
Khariot,metal,cancion,The Hermit,2011,14tb6p8jc9R2YJ3PVG4Ph0,0
Willoos,metal,cancion,IV,2011,5jx3I6kPdggPprnJsfmr13,0
Infest,metal,cancion,Swallowed in Hate,2011,3jilQetUJcgo6R1F6IAdwL,0
Mega Beardo,metal,cancion,Creatures of the Bloodline,2011,3jjJr1n1Ljf1xrweiJ9noV,0
Quicksilver Messenger Service,metal,cancion,The Hat,2011,3uz2ekqMQkLMzGh93g4WlB,0
Execration,metal,cancion,Grains,2011,1MNEugvvsiawW3IIsh3C3r,0
Throne Of Malediction,metal,cancion,Revoker of Dreams,2011,3ZHLFOJpeA9RM7Nnz0ZBOk,0
Fozzy,metal,cancion,Ignition,2011,4bpbjv2DrYtCtsniYt1KI1,0
War Engine,metal,cancion,Chemical Warfare,2011,62s8C8x3bdgjqMdthHhhA4,0
Grabak,metal,cancion,Gluttony - the King's Jester,2011,19uZ5v9s3V0FeZPv4HL9LC,0
Dødkvlt,metal,cancion,Children of a Failed God,2011,2bMdlUnfG81vopG53pAOAG,0
Doug Webb,metal,cancion,Rhythm-A-Ning,2011,6UihHTUIPLzsAcRzo5cPB7,0
Delusions,metal,cancion,Right From Wrong,2011,5vo7LNVttXEf6RUSe3lRCH,0
Cenotaph,metal,cancion,Verbalized Opinions About Intravaginal Umbilical Corded Fetus in Uterus,2011,16qcnj4AMyQtXQq4ovtWBN,0
Gods Of Fire,metal,cancion,Welcome to Hell,2011,1UhqwzOXmCthUKLDyGgkeu,0
Spiritus Mortis,metal,cancion,Mystic Morning,2011,4tl23oJRgYd9CvTr5JjF2f,0
Tjolgtjar,metal,cancion,Opening the Gate for Contact,2011,3wzsk2P7Z8kM3AJCYTHWUk,0
Ironweed,metal,cancion,Red Circles,2011,6vKr6RcMbz0fDIhOcReeWV,0
Thrall,metal,cancion,Mass Extinction,2011,3018LjN3L3Qsjyu6GH5z3e,0
Quicksilver Messenger Service,metal,cancion,Pride Of Man,2011,1UCqaBMa8VOeqBEN6RAIcP,0
Korzus,metal,cancion,Respect,2011,4a3NONbBxTQYNdH2r9wEmZ,1
Deformed Slut,metal,cancion,Necrobscurity Necrophile,2011,3wKKXrB5znE97sctv5fI2e,0
Of the Earth,metal,cancion,Ambient Sea,2011,6u3CLJolIf2lSQQ7XyS5HE,0
Stormzone,metal,cancion,Empire Of Fear,2011,0zWefmMkx2AnA7JA8iM0d5,0
Bastard,metal,cancion,Dementia and Filth,2011,5sxZNGNdNOVY0ZGbuje51l,0
Mind Holocaust,metal,cancion,Last Chance,2011,17H2jwvmVAwWgmdZX3nT9X,0
Zero Illusions,metal,cancion,Oblivion,2011,2cWn8LfFFLvc3yejgCEnqj,0
Ultimatum,metal,cancion,No al Estado Policial,2012,0nhcVLhjAcnv7dqPWhtHtV,1
Avalot,metal,cancion,Sang I Suor,2012,56ZJZ2NyEZTQEldCDspjqC,1
Ultimatum,metal,cancion,Pisar la Sociedad,2012,6EsLZDSxyQyPhuYfVetBSQ,1
Eraso!,metal,cancion,Ez Gara Inoiz Hilko,2012,3QNCWJh0qI9rP5fUs0tpdA,0
Eraso!,metal,cancion,Gaur Ez Bada Bihar,2012,6vGllbtJF30BfPpd5a6A5B,0
Siroco,metal,cancion,La alfombra roja - Remaster,2012,7hwOboTDUVvB5tcDPqWOsr,1
Eraso!,metal,cancion,Egunsenti Nuklearrak,2012,3nkxYIha0Jx3zqEVXKUwTN,0
Eraso!,metal,cancion,Eskura Sekula,2012,7btsjaxKqEVogPj2r9nOuU,0
Ultimatum,metal,cancion,Cloacas,2012,3InZV68OJnx3RV3tUj7OVi,0
Siroco,metal,cancion,Lo que otros llamáis amor - Remaster,2012,00ajCTOSOgK7A1xYu2L2rT,1
Rubén Kelsen,metal,cancion,Viernes,2012,7o5oaAUFGDYiSZAWGrH8mK,1
Siroco,metal,cancion,Piezas de museo - Remaster,2012,4lPRlmF66wGX3Q0BGeojZ6,1
Lithium Dawn,metal,cancion,Freefall,2012,7rj06NBqpj2gM2STKNLZVS,0
Siroco,metal,cancion,Réquiem por manos unidas - Remaster,2012,1csPL4uZos4f8ypFP3vf5n,0
Behavior,metal,cancion,"Fight, Glory and Death",2012,7roDjLX3vuz6DIUFLIb6pj,0
Atsphear,metal,cancion,Empire,2012,2ObtFWFnOIQ52wp9CiJRB8,0
Raiquen,metal,cancion,Mercaderes de la Fe,2012,34zcEcDIg3a7pN6L2gWyvj,0
Raiquen,metal,cancion,Héroes del Ayer,2012,4hxOS5phhwLi3ijsOB8Qe4,0
Sleeppers,metal,cancion,Post Traumatic,2012,3pGscK9021fXVtJTFcCGL5,1
"After Me, The Flood",metal,cancion,Truth Is...,2012,7nJIQ8EEEDHxZvqlt9V8IX,1
December,metal,cancion,Latência,2012,4FblfTmH6YDqnogl9w6mHK,6
FAI,metal,cancion,Crença Sem Fim,2012,49HLE7QZqabnB7irgP9jpM,2
Project Pain,metal,cancion,House of Pain,2012,1ODsEQa08mE4kBtLcZNcMI,0
The Prisoner,metal,cancion,...Into Storms of Cries...,2012,0ZoWmHqyuVtNs5OsUFNAtk,3
Sun Gods In Exile,metal,cancion,Climb Down,2012,1OEDwOgOdwou29m4kEJDKj,0
The Prisoner,metal,cancion,An Ode to Passion,2012,2cFngQ8JvqFTfLacWjCl83,3
Monument,metal,cancion,Rock the Night,2012,5HGCRZzC4CbTsuQxofzcKZ,0
Anesthesia Of Beer,metal,cancion,Toxic Waste,2012,0wHljCyUSjd0bzKtvcKONK,0
Cursed Sun,metal,cancion,Cruelty Concept,2012,6sB5K0ljm9lhJGwAsSYtUG,0
Coram Lethe,metal,cancion,Where the Worms Crawl,2012,5Oh6Y6KfsRlul1OrRS3FqI,0
Seax,metal,cancion,Heavy Metal Seax,2012,2xbhrCxRNh2esza5VKgPIb,0
Huinca,metal,cancion,Huinca,2012,5N4cNRkDQPv85q7NNnLdhF,0
Serial Hawk,metal,cancion,Watch It Burn,2012,0DgtLjOYGtAjQo9SC1bHyh,1
Saratan,metal,cancion,God That Disappears,2012,0OzD6eKW7d0ERHqbEKw2Ng,0
Decline Of Humanity,metal,cancion,Six Gallons of Hate,2012,14sO6B3GGc59R3drcjcMAC,0
OSV,metal,cancion,From the Everlasting,2012,1IKof9u4x3fWOrMw3A2hhf,0
Infernal Poetry,metal,cancion,Hypertrophic Jellyfish,2012,0qyXLxlK1LXKZhi1AorqUd,0
Huinca,metal,cancion,Santa Pedofilia,2012,61OVK7psGSyijrHaciSJov,0
Dead Beyond Buried,metal,cancion,The Dark Era,2012,7wI2Px9tw9S4sQbKHBWgsK,0
Vangough,metal,cancion,Throne of Rust,2012,0eKec0iAyQEpKzZl3Fmtmm,0
Saint Diablo,metal,cancion,Whore`s Bath,2012,359SCGXQX81DEmwsHQlaww,0
Dimlight,metal,cancion,Black Hole,2012,3NanvzFdoIHGCKgPTRfYfE,0
Epidemic,metal,cancion,For What?,2012,1pxdM8QMB19XGIfVlbPMy6,0
Aegonia,metal,cancion,Иска ми дума гората,2012,2xnAdZlZ2qgzCluUNuEADu,0
When Darkness Falls,metal,cancion,Stay,2012,4rVhlO7oETv5CrlLuJU7r9,0
Cold Crypt,metal,cancion,Darkest Symphonies,2012,3uxO3N1SMxCcfEpfkpDZwb,0
Nameless,metal,cancion,Minuto de Aire,2012,7kCerTZyYdEXSd88Zg7wk3,0
Laser Flames on the Great Big News,metal,cancion,Not Living,2012,55zTjFcNxfW22UikdcRakm,0
ZeroCrowd,metal,cancion,The Fall of Days,2012,5Ohid9m2yfM2cKvABR1fHy,0
The Path of Dark Salvation,metal,cancion,A Heroes Tragedy,2012,0ZnKs3KHFFi2OrOPGWMdD4,0
Embalmed,metal,cancion,Bury the Cross,2012,5TqUuIiHypg9bd8ojhCEZ3,0
El Dragón,metal,cancion,Sucio Poder,2012,5OyrA5jnRSwMFtOdf3qEby,1
Navjarmaahr,metal,cancion,The Eyes,2012,6Lmwqm15bOqu1iZUqi0yLz,0
Nowen,metal,cancion,Crown of Fallacy,2012,0BYNJV8Lxze9CyX7ckJS7G,0
Renuen,metal,cancion,Distorted Reality,2012,3Wrj41IRtaSeAjcr52XPoX,0
Maskhera,metal,cancion,Klon - Demo,2012,0kTI3l9zXtaDKMWrqYmnRa,0
Massive Assault,metal,cancion,Finished Symphaty,2012,4MU47vmM81QWCyHunY5qc0,0
Antagonist Zero,metal,cancion,Catatonic,2012,1kVqfHjM0m1AfcF3SPYI1q,0
Dark Nova,metal,cancion,Twilight Star,2012,1BNbDg9UwuJdlwIeKhHtYM,0
KATHEW,metal,cancion,El Violín del Diablo,2012,0OzQ1YEv98MRRlpHeiWPjU,0
Winterblut,metal,cancion,Vom Endlosen Schrei (2011),2012,1YIt738fT4ufRJ2uECrypw,0
Dark Ambition,metal,cancion,Crimson Temptation,2012,010ZrUd5ngIPER6adZhk2T,0
Andralls,metal,cancion,Enemy Within,2012,3UbCCaJ1nJ5ZFLDh6f5G9h,1
Chainsaw,metal,cancion,Too Much Drunkin',2012,2S9nGQ17HnCQftQ60NRaUy,0
Tri Mebius,metal,cancion,Promised Sense (Instrumental),2012,6bepHovYnjb3OaV6wRCDwk,0
Elfsong,metal,cancion,Hangjáték 1.,2012,6KUkjSFyUlezIzPJ1fjUr0,0
Zombie Cookbook,metal,cancion,Then You Scream,2012,0T48TIWb3GwQAgkDmQAoBg,0
Aella,metal,cancion,Caffeine Crave / What Do You Mean the Grinder Is Broken?,2012,6xRVP565SGlJvseASKcqXg,0
Derelict,metal,cancion,Ergogenic,2012,4cI3PdsapUR3IsxxYJlxc8,0
Different Stories,metal,cancion,The Masquerade,2012,4cIuDnGjm06zPWYSSp5TOQ,0
Before a Burning Earth,metal,cancion,Fame Consequences,2012,0p8SrgMyRiZv15OaXkgsZo,0
Whiteheart,metal,cancion,Gloria,2012,7naYkiHLzZSC4M6LSTs3BY,0
Saint Diablo,metal,cancion,Watch Me Kill - Instrumental Version,2012,7a9mb5JjJzJdZTFt6pTxeb,0
Nonexist,metal,cancion,Lost in Darkness and Confusion,2012,43gMVpYYTjtA0UmKesv358,0
Kalevala,metal,cancion,Воротись домой (Live),2012,7tHtQJpYP0cihyyuHH274Q,0
Эпоха,metal,cancion,Династии,2012,11f6vA1uy50KUgT7iIdMnu,0
